代號/名稱,發動機率
3257 虹冠電,0.5310206413269043
8039 台虹,0.5060063600540161
2330 台積電,0.4730111062526703
4764 雙鍵,0.45972371101379395
1402 遠東新,0.34988144040107727
2382 廣達,0.3277851343154907
2317 鴻海,0.20438794791698456
2409 友達,0.1910237967967987
